Source;Target;Type;Id;Label;Weight
0;0;Directed;3385;;1.0
0;205;Directed;3386;;1.0
0;560;Directed;3387;;1.0
0;886;Directed;3388;;1.0
205;0;Directed;5077;;1.0
205;205;Directed;5282;;455.0
205;560;Directed;5637;;1.0
205;886;Directed;5963;;41.0
205;1;Directed;5078;;1.0
205;2;Directed;5079;;1.0
205;149;Directed;5226;;1.0
205;784;Directed;5861;;1.0
205;1024;Directed;6101;;1.0
205;3;Directed;5080;;1.0
205;98;Directed;5175;;17.0
205;431;Directed;5508;;6.0
205;628;Directed;5705;;1.0
205;758;Directed;5835;;5.0
205;4;Directed;5081;;1.0
205;260;Directed;5337;;1.0
205;979;Directed;6056;;1.0
205;5;Directed;5082;;1.0
205;191;Directed;5268;;1.0
205;496;Directed;5573;;1.0
205;6;Directed;5083;;2.0
205;10;Directed;5087;;1.0
205;11;Directed;5088;;1.0
205;12;Directed;5089;;1.0
205;14;Directed;5091;;1.0
205;91;Directed;5168;;1.0
205;198;Directed;5275;;7.0
205;229;Directed;5306;;1.0
205;236;Directed;5313;;24.0
205;317;Directed;5394;;1.0
205;329;Directed;5406;;3.0
205;767;Directed;5844;;2.0
205;837;Directed;5914;;2.0
205;854;Directed;5931;;1.0
205;857;Directed;5934;;2.0
205;938;Directed;6015;;1.0
205;7;Directed;5084;;1.0
205;102;Directed;5179;;1.0
205;416;Directed;5493;;1.0
205;884;Directed;5961;;5.0
205;8;Directed;5085;;1.0
205;16;Directed;5093;;1.0
205;17;Directed;5094;;1.0
205;19;Directed;5096;;1.0
205;21;Directed;5098;;1.0
205;320;Directed;5397;;11.0
205;623;Directed;5700;;1.0
205;9;Directed;5086;;1.0
205;129;Directed;5206;;1.0
205;185;Directed;5262;;1.0
205;570;Directed;5647;;1.0
205;13;Directed;5090;;1.0
205;89;Directed;5166;;1.0
205;398;Directed;5475;;14.0
205;15;Directed;5092;;1.0
205;24;Directed;5101;;5.0
205;848;Directed;5925;;1.0
205;18;Directed;5095;;1.0
205;605;Directed;5682;;4.0
205;819;Directed;5896;;1.0
205;20;Directed;5097;;1.0
205;59;Directed;5136;;2.0
205;111;Directed;5188;;1.0
205;163;Directed;5240;;24.0
205;22;Directed;5099;;1.0
205;466;Directed;5543;;1.0
205;23;Directed;5100;;1.0
205;173;Directed;5250;;10.0
205;537;Directed;5614;;1.0
205;740;Directed;5817;;2.0
205;1011;Directed;6088;;2.0
205;1069;Directed;6146;;2.0
205;40;Directed;5117;;1.0
205;52;Directed;5129;;1.0
205;256;Directed;5333;;1.0
205;345;Directed;5422;;1.0
205;380;Directed;5457;;1.0
205;538;Directed;5615;;12.0
205;617;Directed;5694;;3.0
205;663;Directed;5740;;1.0
205;755;Directed;5832;;14.0
205;898;Directed;5975;;1.0
205;25;Directed;5102;;1.0
205;148;Directed;5225;;36.0
205;301;Directed;5378;;1.0
205;644;Directed;5721;;1.0
205;892;Directed;5969;;1.0
205;26;Directed;5103;;1.0
205;177;Directed;5254;;1.0
205;987;Directed;6064;;11.0
205;27;Directed;5104;;1.0
205;418;Directed;5495;;1.0
205;774;Directed;5851;;1.0
205;783;Directed;5860;;1.0
205;28;Directed;5105;;1.0
205;366;Directed;5443;;2.0
205;486;Directed;5563;;1.0
205;748;Directed;5825;;15.0
205;29;Directed;5106;;1.0
205;174;Directed;5251;;1.0
205;406;Directed;5483;;23.0
205;677;Directed;5754;;1.0
205;873;Directed;5950;;1.0
205;30;Directed;5107;;1.0
205;107;Directed;5184;;1.0
205;705;Directed;5782;;2.0
205;989;Directed;6066;;15.0
205;31;Directed;5108;;1.0
205;137;Directed;5214;;1.0
205;314;Directed;5391;;1.0
205;422;Directed;5499;;2.0
205;441;Directed;5518;;2.0
205;32;Directed;5109;;1.0
205;472;Directed;5549;;1.0
205;939;Directed;6016;;2.0
205;990;Directed;6067;;2.0
205;33;Directed;5110;;1.0
205;119;Directed;5196;;1.0
205;316;Directed;5393;;5.0
205;659;Directed;5736;;1.0
205;34;Directed;5111;;2.0
205;47;Directed;5124;;2.0
205;175;Directed;5252;;8.0
205;199;Directed;5276;;3.0
205;217;Directed;5294;;30.0
205;269;Directed;5346;;1.0
205;360;Directed;5437;;5.0
205;458;Directed;5535;;1.0
205;493;Directed;5570;;2.0
205;555;Directed;5632;;1.0
205;556;Directed;5633;;1.0
205;719;Directed;5796;;1.0
205;1087;Directed;6164;;1.0
205;35;Directed;5112;;1.0
205;363;Directed;5440;;3.0
205;449;Directed;5526;;1.0
205;747;Directed;5824;;1.0
205;799;Directed;5876;;1.0
205;876;Directed;5953;;1.0
205;879;Directed;5956;;7.0
205;891;Directed;5968;;3.0
205;995;Directed;6072;;1.0
205;36;Directed;5113;;1.0
205;211;Directed;5288;;4.0
205;232;Directed;5309;;1.0
205;37;Directed;5114;;1.0
205;515;Directed;5592;;1.0
205;38;Directed;5115;;2.0
205;66;Directed;5143;;1.0
205;86;Directed;5163;;1.0
205;112;Directed;5189;;1.0
205;383;Directed;5460;;1.0
205;509;Directed;5586;;1.0
205;551;Directed;5628;;1.0
205;713;Directed;5790;;1.0
205;39;Directed;5116;;1.0
205;864;Directed;5941;;1.0
205;963;Directed;6040;;1.0
205;41;Directed;5118;;1.0
205;92;Directed;5169;;1.0
205;371;Directed;5448;;5.0
205;655;Directed;5732;;2.0
205;860;Directed;5937;;1.0
205;42;Directed;5119;;2.0
205;84;Directed;5161;;3.0
205;305;Directed;5382;;11.0
205;648;Directed;5725;;3.0
205;695;Directed;5772;;5.0
205;763;Directed;5840;;4.0
205;867;Directed;5944;;7.0
205;1009;Directed;6086;;4.0
205;43;Directed;5120;;3.0
205;257;Directed;5334;;3.0
205;343;Directed;5420;;2.0
205;344;Directed;5421;;1.0
205;576;Directed;5653;;1.0
205;880;Directed;5957;;1.0
205;889;Directed;5966;;3.0
205;906;Directed;5983;;3.0
205;929;Directed;6006;;5.0
205;44;Directed;5121;;1.0
205;415;Directed;5492;;1.0
205;502;Directed;5579;;8.0
205;45;Directed;5122;;1.0
205;147;Directed;5224;;2.0
205;310;Directed;5387;;2.0
205;46;Directed;5123;;1.0
205;471;Directed;5548;;1.0
205;821;Directed;5898;;1.0
205;634;Directed;5711;;1.0
205;1070;Directed;6147;;1.0
205;48;Directed;5125;;4.0
205;201;Directed;5278;;1.0
205;448;Directed;5525;;1.0
205;467;Directed;5544;;1.0
205;506;Directed;5583;;1.0
205;647;Directed;5724;;3.0
205;49;Directed;5126;;1.0
205;351;Directed;5428;;6.0
205;761;Directed;5838;;9.0
205;50;Directed;5127;;1.0
205;74;Directed;5151;;6.0
205;118;Directed;5195;;7.0
205;464;Directed;5541;;1.0
205;615;Directed;5692;;4.0
205;766;Directed;5843;;16.0
205;1008;Directed;6085;;3.0
205;1080;Directed;6157;;2.0
205;51;Directed;5128;;1.0
205;505;Directed;5582;;1.0
205;642;Directed;5719;;2.0
205;851;Directed;5928;;18.0
205;53;Directed;5130;;1.0
205;96;Directed;5173;;1.0
205;287;Directed;5364;;1.0
205;394;Directed;5471;;1.0
205;595;Directed;5672;;1.0
205;54;Directed;5131;;2.0
205;282;Directed;5359;;1.0
205;514;Directed;5591;;1.0
205;949;Directed;6026;;2.0
205;1003;Directed;6080;;2.0
205;1050;Directed;6127;;1.0
205;55;Directed;5132;;1.0
205;56;Directed;5133;;1.0
205;553;Directed;5630;;2.0
205;57;Directed;5134;;1.0
205;58;Directed;5135;;1.0
205;246;Directed;5323;;1.0
205;513;Directed;5590;;1.0
205;746;Directed;5823;;2.0
205;843;Directed;5920;;1.0
205;692;Directed;5769;;1.0
205;912;Directed;5989;;1.0
205;60;Directed;5137;;1.0
205;572;Directed;5649;;9.0
205;61;Directed;5138;;1.0
205;64;Directed;5141;;1.0
205;116;Directed;5193;;1.0
205;186;Directed;5263;;1.0
205;296;Directed;5373;;1.0
205;927;Directed;6004;;3.0
205;62;Directed;5139;;1.0
205;315;Directed;5392;;1.0
205;375;Directed;5452;;1.0
205;753;Directed;5830;;2.0
205;63;Directed;5140;;1.0
205;447;Directed;5524;;2.0
205;574;Directed;5651;;1.0
205;670;Directed;5747;;1.0
205;778;Directed;5855;;1.0
205;65;Directed;5142;;1.0
205;567;Directed;5644;;2.0
205;1043;Directed;6120;;1.0
205;67;Directed;5144;;1.0
205;144;Directed;5221;;2.0
205;846;Directed;5923;;1.0
205;1010;Directed;6087;;1.0
205;68;Directed;5145;;1.0
205;245;Directed;5322;;1.0
205;602;Directed;5679;;1.0
205;1042;Directed;6119;;7.0
205;1044;Directed;6121;;1.0
205;1077;Directed;6154;;1.0
205;69;Directed;5146;;1.0
205;676;Directed;5753;;2.0
205;962;Directed;6039;;3.0
205;70;Directed;5147;;5.0
205;105;Directed;5182;;1.0
205;214;Directed;5291;;1.0
205;280;Directed;5357;;5.0
205;318;Directed;5395;;5.0
205;355;Directed;5432;;2.0
205;421;Directed;5498;;2.0
205;490;Directed;5567;;2.0
205;856;Directed;5933;;4.0
205;904;Directed;5981;;1.0
205;969;Directed;6046;;3.0
205;1047;Directed;6124;;1.0
205;1062;Directed;6139;;1.0
205;71;Directed;5148;;1.0
205;200;Directed;5277;;2.0
205;72;Directed;5149;;2.0
205;73;Directed;5150;;2.0
205;430;Directed;5507;;3.0
205;468;Directed;5545;;1.0
205;469;Directed;5546;;2.0
205;732;Directed;5809;;1.0
205;733;Directed;5810;;1.0
205;1001;Directed;6078;;3.0
205;1014;Directed;6091;;3.0
205;75;Directed;5152;;1.0
205;216;Directed;5293;;1.0
205;238;Directed;5315;;3.0
205;498;Directed;5575;;1.0
205;631;Directed;5708;;1.0
205;635;Directed;5712;;1.0
205;656;Directed;5733;;1.0
205;834;Directed;5911;;1.0
205;1064;Directed;6141;;1.0
205;1082;Directed;6159;;2.0
205;76;Directed;5153;;1.0
205;77;Directed;5154;;1.0
205;88;Directed;5165;;1.0
205;132;Directed;5209;;1.0
205;133;Directed;5210;;1.0
205;169;Directed;5246;;1.0
205;181;Directed;5258;;1.0
205;190;Directed;5267;;1.0
205;304;Directed;5381;;1.0
205;735;Directed;5812;;5.0
205;736;Directed;5813;;1.0
205;1086;Directed;6163;;1.0
205;78;Directed;5155;;1.0
205;130;Directed;5207;;3.0
205;79;Directed;5156;;1.0
205;80;Directed;5157;;1.0
205;914;Directed;5991;;1.0
205;81;Directed;5158;;1.0
205;82;Directed;5159;;1.0
205;1081;Directed;6158;;1.0
205;83;Directed;5160;;1.0
205;164;Directed;5241;;1.0
205;387;Directed;5464;;1.0
205;491;Directed;5568;;1.0
205;312;Directed;5389;;1.0
205;438;Directed;5515;;2.0
205;808;Directed;5885;;3.0
205;830;Directed;5907;;1.0
205;973;Directed;6050;;1.0
205;1026;Directed;6103;;1.0
205;85;Directed;5162;;1.0
205;336;Directed;5413;;3.0
205;754;Directed;5831;;3.0
205;862;Directed;5939;;1.0
205;87;Directed;5164;;2.0
205;258;Directed;5335;;3.0
205;564;Directed;5641;;1.0
205;691;Directed;5768;;1.0
205;866;Directed;5943;;1.0
205;917;Directed;5994;;6.0
205;1075;Directed;6152;;1.0
205;90;Directed;5167;;1.0
205;308;Directed;5385;;1.0
205;311;Directed;5388;;1.0
205;381;Directed;5458;;1.0
205;93;Directed;5170;;1.0
205;294;Directed;5371;;1.0
205;346;Directed;5423;;4.0
205;94;Directed;5171;;1.0
205;872;Directed;5949;;1.0
205;95;Directed;5172;;1.0
205;687;Directed;5764;;6.0
205;769;Directed;5846;;1.0
205;1102;Directed;6179;;1.0
205;97;Directed;5174;;1.0
205;281;Directed;5358;;1.0
205;744;Directed;5821;;3.0
205;131;Directed;5208;;3.0
205;145;Directed;5222;;1.0
205;183;Directed;5260;;2.0
205;215;Directed;5292;;1.0
205;274;Directed;5351;;1.0
205;349;Directed;5426;;1.0
205;377;Directed;5454;;1.0
205;400;Directed;5477;;1.0
205;432;Directed;5509;;1.0
205;435;Directed;5512;;1.0
205;437;Directed;5514;;1.0
205;582;Directed;5659;;1.0
205;588;Directed;5665;;1.0
205;597;Directed;5674;;1.0
205;624;Directed;5701;;1.0
205;650;Directed;5727;;1.0
205;734;Directed;5811;;1.0
205;779;Directed;5856;;1.0
205;816;Directed;5893;;1.0
205;863;Directed;5940;;2.0
205;881;Directed;5958;;1.0
205;907;Directed;5984;;1.0
205;931;Directed;6008;;1.0
205;1027;Directed;6104;;2.0
205;1030;Directed;6107;;1.0
205;99;Directed;5176;;1.0
205;622;Directed;5699;;1.0
205;806;Directed;5883;;1.0
205;845;Directed;5922;;1.0
205;100;Directed;5177;;1.0
205;192;Directed;5269;;1.0
205;101;Directed;5178;;1.0
205;208;Directed;5285;;2.0
205;532;Directed;5609;;1.0
205;974;Directed;6051;;1.0
205;103;Directed;5180;;1.0
205;723;Directed;5800;;1.0
205;104;Directed;5181;;1.0
205;106;Directed;5183;;1.0
205;604;Directed;5681;;1.0
205;614;Directed;5691;;2.0
205;693;Directed;5770;;3.0
205;781;Directed;5858;;1.0
205;1037;Directed;6114;;1.0
205;108;Directed;5185;;1.0
205;546;Directed;5623;;1.0
205;714;Directed;5791;;1.0
205;1083;Directed;6160;;1.0
205;1095;Directed;6172;;1.0
205;109;Directed;5186;;1.0
205;568;Directed;5645;;1.0
205;667;Directed;5744;;1.0
205;110;Directed;5187;;1.0
205;710;Directed;5787;;9.0
205;789;Directed;5866;;4.0
205;113;Directed;5190;;1.0
205;706;Directed;5783;;1.0
205;916;Directed;5993;;1.0
205;1005;Directed;6082;;1.0
205;114;Directed;5191;;1.0
205;240;Directed;5317;;1.0
205;261;Directed;5338;;1.0
205;115;Directed;5192;;1.0
205;117;Directed;5194;;1.0
205;288;Directed;5365;;1.0
205;451;Directed;5528;;1.0
205;717;Directed;5794;;6.0
205;120;Directed;5197;;1.0
205;425;Directed;5502;;1.0
205;557;Directed;5634;;1.0
205;1061;Directed;6138;;3.0
205;121;Directed;5198;;1.0
205;341;Directed;5418;;2.0
205;924;Directed;6001;;1.0
205;1021;Directed;6098;;1.0
205;122;Directed;5199;;1.0
205;213;Directed;5290;;2.0
205;395;Directed;5472;;1.0
205;123;Directed;5200;;1.0
205;795;Directed;5872;;2.0
205;124;Directed;5201;;1.0
205;125;Directed;5202;;1.0
205;368;Directed;5445;;1.0
205;489;Directed;5566;;1.0
205;544;Directed;5621;;1.0
205;772;Directed;5849;;1.0
205;126;Directed;5203;;1.0
205;265;Directed;5342;;1.0
205;665;Directed;5742;;1.0
205;1000;Directed;6077;;1.0
205;127;Directed;5204;;1.0
205;429;Directed;5506;;3.0
205;715;Directed;5792;;1.0
205;716;Directed;5793;;1.0
205;771;Directed;5848;;1.0
205;900;Directed;5977;;1.0
205;921;Directed;5998;;1.0
205;128;Directed;5205;;1.0
205;775;Directed;5852;;1.0
205;950;Directed;6027;;1.0
205;902;Directed;5979;;1.0
205;303;Directed;5380;;1.0
205;350;Directed;5427;;1.0
205;743;Directed;5820;;1.0
205;134;Directed;5211;;1.0
205;289;Directed;5366;;1.0
205;290;Directed;5367;;1.0
205;450;Directed;5527;;1.0
205;135;Directed;5212;;1.0
205;475;Directed;5552;;1.0
205;1103;Directed;6180;;1.0
205;136;Directed;5213;;6.0
205;170;Directed;5247;;2.0
205;390;Directed;5467;;1.0
205;596;Directed;5673;;1.0
205;703;Directed;5780;;1.0
205;833;Directed;5910;;1.0
205;885;Directed;5962;;2.0
205;967;Directed;6044;;1.0
205;1006;Directed;6083;;1.0
205;138;Directed;5215;;1.0
205;694;Directed;5771;;1.0
205;739;Directed;5816;;1.0
205;1091;Directed;6168;;1.0
205;139;Directed;5216;;1.0
205;669;Directed;5746;;1.0
205;708;Directed;5785;;1.0
205;773;Directed;5850;;1.0
205;140;Directed;5217;;1.0
205;1060;Directed;6137;;1.0
205;141;Directed;5218;;1.0
205;499;Directed;5576;;1.0
205;627;Directed;5704;;1.0
205;937;Directed;6014;;4.0
205;142;Directed;5219;;1.0
205;272;Directed;5349;;1.0
205;729;Directed;5806;;1.0
205;818;Directed;5895;;2.0
205;1007;Directed;6084;;5.0
205;143;Directed;5220;;1.0
205;660;Directed;5737;;1.0
205;803;Directed;5880;;1.0
205;871;Directed;5948;;1.0
205;1017;Directed;6094;;1.0
205;1028;Directed;6105;;1.0
205;146;Directed;5223;;1.0
205;284;Directed;5361;;1.0
205;428;Directed;5505;;1.0
205;516;Directed;5593;;1.0
205;658;Directed;5735;;1.0
205;776;Directed;5853;;2.0
