Id,Label,startdate
0, &#x003b2;-catenin,01/01/2014
1, [<sup>18</sup>F]FDG,01/01/2008
2, [<sup>18</sup>F]FLT,01/01/2008
3, <italic>&#x003b3;</italic>-irradiation,01/01/2003
4, <italic>ALK</italic>,01/01/2014
5, <italic>ApoSense</italic>,01/01/2006
6, <italic>BRAF</italic>,01/01/2011
7, <italic>CHEK2<sup>&#x0002a;</sup>1100delC</italic> mutation,01/01/2008
8, <italic>Ect2</italic>,01/01/2013
9, <italic>in vivo</italic> imaging,01/01/2004
10, <italic>KRAS</italic>,01/01/2011
11, <italic>KRAS</italic> codon 12,01/01/2012
12, <italic>KRAS</italic> codon 13,01/01/2012
13, <italic>KRAS</italic> mutation,01/01/2010
14, <italic>KRAS</italic> p.G13D,01/01/2012
15, <italic>Lactobacillus rhamnosus</italic> GG,01/01/2007
16, <italic>MYBL2</italic>,01/01/2013
17, <italic>NCoR1</italic>,01/01/2013
18, <italic>O</italic><sup>6</sup>-methylguanine-DNA-methyltransferase,01/01/2003
19, <italic>PRAME</italic>,01/01/2013
20, <italic>Rasayana Avaleha</italic>,01/01/2010
21, <italic>RB</italic>,01/01/2013
22, <italic>Tulasi Amla Yashti Ghrita</italic>,01/01/2012
23, 5-fluoropyrimidine,01/01/2002
24, 5-fluorouracil,01/01/2002
25, 5-year follow-up,01/01/2012
26, 5-year survival,01/01/2008
27, 70-gene signature,01/01/2013
28, ABC transporters,01/01/2013
29, Abraxane,01/01/2013
30, absolute lymphocyte count,01/01/2006
31, accelerated,01/01/2011
32, accelerated-failure time,01/01/2012
33, acid-base balance,01/01/1999
34, actinomycin D,01/01/2004
35, Acute leukemia,01/01/2013
36, Acute lymphoblastic leukaemia,01/01/2009
37, Acute lymphoblastic leukemia,01/01/2012
38, acute myeloid leukemia,01/01/2013
39, adenocarcinoma,01/01/2011
40, Adenomatous polyposis coli,01/01/2012
41, Adherence,01/01/2014
42, adjuvant,01/01/2004
43, Adjuvant therapy,01/01/2002
44, adjuvant treatment,01/01/2004
45, adjuvant; neutropaenia,01/01/2007
46, adolescent,01/01/2007
47, Adriamycin,01/01/2004
48, advanced,01/01/2001
49, advanced breast cancer,01/01/2004
50, advanced colon cancer,01/01/2009
51, advanced colorectal cancer,01/01/2009
52, advanced gastric cancer,01/01/2005
53, Advanced lung cancer,01/01/2013
54, advanced non-small cell lung cancer,01/01/2007
55, advanced oesophageal cancer,01/01/2002
56, advanced soft tissue sarcoma,01/01/2004
57, advanced stage,01/01/2010
58, Adverse drug event,01/01/2013
59, Adverse Effects,01/01/1999
60, age and cancer,01/01/2006
61, Aggressive lymphoma,01/01/2013
62, Aging,01/01/2011
63, ALIMTA&#x000ae;,01/01/2001
64, Alkylating agents,01/01/2013
65, allelic imbalance,01/01/2007
66, allogeneic stem cell transplantation,01/01/2013
67, Altered mental status,01/01/2009
68, Alternative,01/01/2013
69, amifostine,01/01/2001
70, anaemia,01/01/2001
71, anal cancer,01/01/2003
72, anal carcinoma,01/01/1999
73, anaplastic astrocytoma,01/01/2000
74, angiogenesis,01/01/1999
75, angiogenic factors,01/01/2006
76, Angiogenic markers,01/01/2012
77, Angiomotin,01/01/2012
78, angiopoietin-2,01/01/2010
